Date,FB,TWTR,NFLX,Optimized portfolio daily worth in $
2017-04-13,1663221.5796751268,2053.1529938456165,1313565.0500995847,2978839.782768557
2017-04-17,1687443.8206374703,2067.5107070892923,1353361.7151825307,3042873.0465270905
2017-04-18,1681955.1416565904,2073.253792386762,1317609.0787227799,3001637.4741717568
2017-04-19,1697586.2148708857,2087.611505630438,1284521.7422553613,2984195.568631877
2017-04-20,1715842.3836917307,2103.404990198481,1297572.8181727517,3015518.606854681
2017-04-21,1714410.4070563274,2100.5334475497457,1313105.4769529342,3029616.4174568113
2017-04-24,1735769.040780051,2112.019618144687,1321928.8163085014,3059809.876706697
2017-04-25,1747939.8756772873,2104.8407615228484,1398489.127304725,3148533.843743535
2017-04-26,1748775.0422520873,2271.390235149486,1380199.1583174004,3131245.5908046374
2017-04-27,1762377.674802562,2384.8163133516564,1406944.747482956,3171707.2385988696
2017-04-28,1792804.6785206434,2366.1511425577455,1398856.6994274775,3194027.529090679
2017-05-01,1819174.800911082,2518.3430465178394,1427808.1533023866,3249501.2972599864
2017-05-02,1822992.9916244873,2618.8468956464367,1437918.0732103346,3263529.9117304683
2017-05-03,1811299.5379557246,2666.2273493505654,1430013.880148068,3243979.645453143
2017-05-04,1799964.0366833087,2653.305407431258,1445270.829965725,3247888.172056465
2017-05-05,1792685.4167385343,2683.4567488201096,1439296.792650286,3234665.6661376404
2017-05-08,1802469.691525584,2628.8971513398765,1437274.7829341444,3242373.371611068
2017-05-09,1795549.023977156,2637.5120664403476,1447200.9857125522,3245387.521756149
2017-05-10,1793281.8807669526,2661.920178954596,1473119.282554121,3269063.083500028
2017-05-11,1790298.8446962028,2640.383321934818,1457127.0414363763,3250066.2694545137
2017-05-12,1793759.273927572,2671.970578225169,1477990.456446719,3274421.700952516
2017-05-15,1792088.7737279513,2760.9882567588256,1470729.6915243154,3265579.4535090253
2017-05-16,1787196.5587754892,2798.318311192382,1465123.2355225408,3255118.1126092225
2017-05-17,1728371.170985313,2624.59012452104,1408047.610905797,3139043.372015631
2017-05-18,1761900.4725562523,2657.6127214043613,1431024.8896015952,3195582.974879252
2017-05-19,1766673.2586765864,2634.6403802144796,1443156.957089357,3212464.8561461577
2017-05-22,1768821.1281725361,2646.1265508094207,1444443.6846963223,3215910.939419668
2017-05-23,1766792.6875087149,2605.9249537271285,1451704.4404278137,3221103.0528902556
2017-05-24,1790298.8446962028,2581.5168412128805,1449866.2857048842,3242746.6472423
2017-05-25,1813208.728769583,2577.2096708169097,1498578.1441127118,3314364.082553112
2017-05-26,1815237.1694334033,2617.411124322069,1492879.6870870388,3310734.267644764
2017-05-30,1818220.2055041534,2646.1265508094207,1500140.580682203,3321006.9127371656
2017-05-31,1807242.656628083,2630.3330662413773,1498761.999105924,3308634.988800248
2017-06-01,1808077.811270738,2660.4844076302284,1498026.7078058354,3308765.0034842035
2017-06-02,1832896.6952436655,2628.8971513398765,1518154.6936524173,3353680.2860474223
2017-06-05,1833135.3858579022,2617.411124322069,1517051.8302295764,3352804.627211801
2017-06-06,1823350.944020833,2522.65021691381,1518062.8304921912,3343936.4247299377
2017-06-07,1827049.8729521297,2503.985333274164,1522106.8591153864,3351660.71740079
2017-06-08,1846022.1255478302,2525.521759562545,1524588.4419781785,3373136.089285571
2017-06-09,1785048.856329559,2426.453538181183,1452439.7317279025,3239915.041595643
2017-06-12,1771207.5212327028,2446.5544802994614,1391871.652658512,3165525.728371514
2017-06-13,1797935.4170373231,2436.503793874623,1403636.0101598492,3204007.930991047
2017-06-14,1792804.6785206434,2406.3527396400373,1398856.6994274775,3194067.7306877607
2017-06-15,1787435.2493897262,2416.4031389106103,1394812.679995194,3184664.332523831
2017-06-16,1797458.2028588683,2393.430797720729,1400511.1370208666,3200362.7706774557
2017-06-19,1824066.8368813798,2449.4257357939314,1409885.7656287262,3236402.0282459
2017-06-20,1816668.9670866416,2427.889309505551,1397478.1178511984,3216574.9742473457
2017-06-21,1836476.3743249984,2552.801558302662,1424866.9972929442,3263896.1731762453
2017-06-22,1830390.861419225,2605.9249537271285,1423580.2696859797,3256577.056058932
2017-06-23,1850317.6974897098,2656.1769500799933,1452347.8685676767,3305321.7430074667
2017-06-26,1832657.9926972834,2626.0258958454065,1447568.5578353049,3282852.576428434
2017-06-27,1796742.3099983216,2601.617783331158,1388103.3513796665,3187447.279161319
2017-06-28,1828481.8495875325,2577.2096708169097,1409977.7666526241,3241036.8259109734
2017-06-29,1802230.988979202,2534.13638750875,1379463.8670173117,3184228.9923840226
2017-06-30,1801515.0961186555,2565.72350022197,1373214.1207393468,3177294.9403582243
2017-07-03,1771088.0924005744,2534.13638750875,1343435.5124041226,3117057.741192206
2017-07-05,1793878.5237775361,2558.544500022999,1356670.4525056374,3153107.520783196
2017-07-06,1775741.7957209642,2572.902213266675,1344170.8037042113,3122485.5016384423
2017-07-07,1807003.9540817009,2587.25992651035,1380291.0214776262,3189882.2354858373
2017-07-10,1831584.147440391,2595.8745544565554,1403176.4370131989,3237356.4590080464
2017-07-11,1852704.0905498767,2676.277605044006,1418433.386830855,3273813.754985776
2017-07-12,1896017.6549757214,2763.8597994075603,1459057.1971832039,3357838.711958333
2017-07-13,1900313.2388497454,2773.9101986781334,1454094.1693212923,3357181.3183697155
2017-07-14,1908785.1328835408,2819.8547374807627,1480839.6114322632,3392444.599053285
2017-07-17,1905921.3585948995,2862.9281643660556,1486170.3584715116,3394954.6452307776
2017-07-18,1943269.0298614083,2868.6711060863927,1687451.4025649098,3633589.1035324046
2017-07-19,1958542.150679359,2888.772048204671,1689840.9935947154,3651271.916322279
2017-07-20,1963195.6869497288,2947.638672503741,1687451.4025649098,3653594.728187142
2017-07-21,1962002.400928563,2887.336276880303,1732854.385785958,3697744.1229914012
2017-07-24,1980735.9509778824,2871.542648735128,1727064.2126546432,3710671.7062812606
2017-07-25,1972144.795161978,2867.2351911848923,1718424.7282922885,3693436.7586454516
2017-07-26,1976082.4266396565,2815.5477106619255,1737817.5607024543,3716715.5350527726
2017-07-27,2033714.6954586874,2417.8389102349774,1678995.6445230066,3715128.178891929
2017-07-28,2057698.2458067946,2404.9169683156697,1691495.2841335211,3751598.4469086314
2017-07-31,2019515.4198976296,2310.15606090741,1669621.015915147,3691446.591873684
2017-08-01,2026794.0398424037,2327.3851732226885,1673021.607207568,3702143.0322231944
2017-08-02,2020112.0629082127,2307.2845182586752,1661165.3865460043,3683584.733972476
2017-08-03,2011640.1569422723,2323.0780028267186,1647287.0274955388,3661250.2624406377
2017-08-04,2023930.2536216185,2338.871630971894,1656845.6489602828,3683114.774212873
2017-08-07,2052090.1260616404,2354.664971962805,1666587.996745479,3721032.7877790825
2017-08-08,2043141.0178493906,2318.770688853615,1639290.9804639588,3684750.769002203
2017-08-09,2042544.3748388083,2317.3347739521155,1615578.410468072,3660440.1200808324
2017-08-10,1997440.8813812153,2261.339835878913,1554550.758252031,3554252.979469125
2017-08-11,2005554.834950809,2285.7479483931616,1575322.1722384754,3583162.7551376773
2017-08-14,2037413.6363221286,2310.15606090741,1571645.8627926162,3611369.6551756524
2017-08-15,2040396.6723928787,2290.0552623662643,1548668.584096818,3591355.311752063
2017-08-16,2028464.5281098795,2320.206460177983,1562271.0963210848,3593055.830891142
2017-08-17,1991594.2500039886,2278.5690917713237,1526518.450670422,3520391.2697661817
2017-08-18,1997560.3221454883,2295.7983476637346,1530654.3332629313,3530510.4537560837
2017-08-21,2001975.1558694767,2313.027747133278,1532676.352169985,3536964.535786595
2017-08-22,2024168.9442358548,2387.6875688461255,1556388.9129749602,3582945.544779661
2017-08-23,2013072.1455098204,2435.068022550256,1553815.476142854,3569322.689675225
2017-08-24,2001497.9416910221,2425.017623279683,1545267.9928043971,3549190.952118699
2017-08-25,1984554.320673452,2390.5592550719934,1525231.732254369,3512176.612182893
2017-08-28,1995531.8695495226,2407.7885109644044,1535985.0803021798,3533924.738362667
2017-08-29,2005196.8825544636,2430.7608521542857,1551517.748273274,3559145.391679892
2017-08-30,2027509.9327029507,2430.7608521542857,1605560.3445294383,3635501.0380845433
2017-08-31,2051970.8642795319,2427.889309505551,1605744.208713562,3660142.962302599
