Date,FB,TWTR,NFLX,portfolio daily worth in $,portfolio daily % return
2015-12-02,726729.8891651538,196683.94592194815,901419.5177383206,1824833.3528254228,0.9229990640990069
2015-12-03,715150.9724792033,200555.67714088413,886597.4827250428,1802304.1323451302,-1.2345905693476156
2015-12-04,727483.5451263885,193741.4301955568,915402.6026166129,1836627.5779385583,1.9044202905292664
2015-12-07,723578.2438150446,189405.08348688605,876459.7671629082,1789443.094464839,-2.5690828146378744
2015-12-08,729607.4709506689,193509.12632242066,887786.0798974099,1810902.6771704995,1.199232474731381
2015-12-09,716658.2912530906,188243.56412120527,868349.5499673288,1773251.4053416247,-2.079143860326282
2015-12-10,722276.453873204,200633.11176526287,859330.5091616274,1782240.0748000941,0.5069032756095669
2015-12-11,699666.8092932514,192347.60695673985,831364.3394050426,1723378.7556550337,-3.3026593878864827
2015-12-14,717069.417431362,192967.08395176966,843669.4121486853,1753705.913531817,1.759750013006069
2015-12-15,716315.7546187093,185455.93313049624,829196.9192996528,1730968.6070488584,-1.2965290421566507
2015-12-16,731662.9168537444,188166.12949682656,857442.7577453458,1777271.804095917,2.6749876836877573
2015-12-17,727757.6086909826,180500.10168333328,856533.878202884,1764791.5885771997,-0.702211979617027
2015-12-18,712821.5178228763,178022.20144667669,825141.8176934056,1715985.5369629585,-2.765541944450752
2015-12-21,717823.0254326719,171440.25063102308,815423.5737029923,1704686.8497666873,-0.6584372043291385
2015-12-22,722893.1088835219,174692.50485492928,812696.8791432676,1710282.4928817188,0.3282505004246019
2015-12-23,716863.826936555,175544.29346655766,826120.682575683,1718528.8029787955,0.48216070335738404
2015-12-24,719535.8798900235,177867.3244544568,820317.6883681068,1717720.892712587,-0.04701173845955208
2015-12-28,725770.6906690369,174460.21646871808,818779.5420399521,1719010.449177707,0.07507369041099661
2015-12-29,734883.0900849834,173995.59323552082,832832.5563257209,1741711.239646225,1.3205731518023585
2015-12-30,727757.6086909826,172137.169993894,815982.9110812088,1715877.6897660855,-1.48322806284392
2015-12-31,717069.417431362,179183.71306889507,799692.6032149133,1695945.7337151703,-1.1616186963554713
2016-01-04,700351.9373733564,174692.50485492928,768789.999616972,1643834.4418452578,-3.0726980724646515
2016-01-05,703846.1741691894,169736.69663815372,752709.486964648,1626292.3577719913,-1.0671442103120141
2016-01-06,705490.5007454113,165632.6538026191,822764.7142387232,1693887.8687867536,4.15641816747929
2016-01-07,670890.8201526547,156882.54899128622,800951.0878455021,1628724.456989443,-3.846973167355166
2016-01-08,666848.5110389763,154714.37950868206,778787.9053049511,1600350.7958526094,-1.742078656403291
2016-01-11,668081.7662482694,152159.03690418432,803817.6412201793,1624058.444372633,1.4814032386813654
2016-01-12,680825.4102623833,151926.7407745106,815074.0315387471,1647826.1825756412,1.4634780100041025
2016-01-13,653899.3313413977,144647.87833944848,745018.7483323326,1543565.9580131788,-6.3271372712076985
2016-01-14,673973.9924329768,147125.78631956753,748514.5195519056,1569614.29830445,1.6875430658499158
2016-01-15,650679.1581101589,138917.7238788857,727400.0823603116,1516996.9643493562,-3.3522460907710103
2016-01-19,652666.0761321046,129238.39583154573,754317.5067679394,1536221.9787315899,1.2673073733195812
2016-01-20,646431.2585016732,134581.36942675247,753268.7684105252,1534281.3963389508,-0.12632174383036054
2016-01-21,645129.530222593,138065.9352672573,715584.3546635272,1498779.8201533775,-2.3138895035999254
2016-01-22,671027.8759149142,138143.36989163604,704188.1614623462,1513359.4072688965,0.9727637722015086
2016-01-25,664656.057333566,131793.73069258098,693001.7075427972,1489451.4955689441,-1.5797907347797866
2016-01-26,666916.9841087632,131716.29606820233,683982.6108047562,1482615.8909817217,-0.45893435318693404
2016-01-27,647116.393433196,129935.30745095419,637279.1073112597,1414330.8081954098,-4.605716369402769
2016-01-28,747558.2062179677,127689.69560050886,660071.549645961,1535319.4514644374,8.554479798357846
2016-01-29,768797.5877862923,130090.16121278674,642103.2296450159,1540990.978644095,0.36940372078578143
2016-02-01,788529.6505807298,138685.41226228705,657834.2001330949,1585049.2629761118,2.859087752141383
2016-02-02,785241.0042797037,124514.87600098134,639656.2037743996,1549412.0840550847,-2.2483325757405304
2016-02-03,772086.2888986609,128231.73022769747,634412.5469450399,1534730.5660713983,-0.9475541164789608
2016-02-04,757013.1422682952,130941.94982441509,627211.2652242618,1515166.3573169722,-1.2747650426033112
2016-02-05,713027.0535063407,121727.22952334746,578829.8055284551,1413584.0885581432,-6.704364063277443
2016-02-08,683428.9284833043,115377.59032429243,582535.3160296602,1381341.834837257,-2.2808868592864138
2016-02-09,681990.137590547,111505.85910535645,602181.5293090335,1395677.526004937,1.0378090930235995
2016-02-10,691993.2007700625,115997.06731932219,618401.9077678528,1426392.1758572375,2.20069817561796
2016-02-11,698228.0184004939,110808.94748594797,603719.6756371883,1412756.6415236301,-0.9559456763994578
2016-02-12,698913.1464805988,122966.18351340697,611060.8231644615,1432940.1531584673,1.4286615997125747
2016-02-16,696172.5724974184,126683.05322704796,622596.8751805951,1445452.5009050614,0.8731940213284248
2016-02-17,720769.1350993166,135200.84642178225,662518.5755165775,1518488.5570376762,5.052816061882612
2016-02-18,708916.2096601147,142712.0127299805,632664.6613352535,1484292.8837253489,-2.2519546264502344
2016-02-19,716452.7624210439,141782.7894939734,623855.3528196415,1482090.9047346588,-0.1483520546944517
2016-02-22,734197.9620048784,141705.3548695947,642732.4964307088,1518635.813305182,2.4657670088776262
2016-02-23,722550.517437798,141705.3548695947,623086.2831513353,1487342.1554587279,-2.0606426881469413
2016-02-24,732279.5170527196,139382.32388169554,640495.2098417245,1512157.0507761396,1.6684052977546586
